stop,direction,time,average,sd,dist,param
Heidelberglaan,1,450,0.05,0.125,expon,(0.0  0.015625)
Heidelberglaan,1,465,0.15,0.20989507868443238,gamma,(0.3236641710392071  -4.822816326493723e-31  0.5630196052863883)
Heidelberglaan,1,480,0.05,0.1270001270001905,expon,(0.0  0.016129032258064516)
Heidelberglaan,1,495,0.1,0.16899482177531733,gamma,(0.19645846787660085  -9.397209254779434e-31  0.5815662047534094)
Heidelberglaan,1,510,0.35,0.3907562235912973,expon,(0.0  0.12962962962962962)
Heidelberglaan,1,525,0.35,0.3589514644713876,gamma,(0.5040733086215876  -8.260033351576592e-30  0.7516712121125921)
Heidelberglaan,1,540,0.23809523809523808,0.26477164751518606,gamma,(0.5862846245824809  -2.1499925879805644e-30  0.5142301340427995)
Heidelberglaan,1,555,0.23809523809523808,0.26854307776478736,gamma,(0.6093857078095135  -3.069480376344676e-30  0.5114544957758252)
Heidelberglaan,1,570,0.5238095238095238,0.538910540732296,gamma,(0.21689693401085886  -2.919579088248157e-30  1.7670822078942647)
Heidelberglaan,1,585,0.3333333333333333,0.3401136885760013,gamma,(0.43778470669272407  -2.8442453359265442e-30  0.7648989371568327)
Heidelberglaan,1,600,0.19047619047619047,0.2370435403783839,gamma,(0.4369525925330176  -2.5100905599696045e-29  0.5333340539414406)
Heidelberglaan,1,615,0.19047619047619047,0.2233774181740458,gamma,(0.37811163666262804  -9.984984101695521e-30  0.5549764254220824)
Heidelberglaan,1,630,0.23809523809523808,0.2629440931775465,gamma,(0.5753751321188816  -7.774289581488486e-30  0.5155568396992888)
Heidelberglaan,1,645,0.23809523809523808,0.30817173607175735,gamma,(0.2785087711062466  -1.7768549376965156e-30  0.8916143439491475)
Heidelberglaan,1,660,0.6,0.46107202537934633,expon,(0.0  0.18181818181818182)
Heidelberglaan,1,675,0.3333333333333333,0.32973414855699845,gamma,(0.4045091690621533  -6.561806309671852e-31  0.7717978848926648)
Heidelberglaan,1,690,0.3333333333333333,0.3423087405623974,gamma,(0.44510512146694625  -8.910872538773342e-30  0.7634050097490692)
Heidelberglaan,1,705,0.2857142857142857,0.4024572411895647,gamma,(0.17838146249472733  -6.335487066857533e-30  1.4539149226380048)
Heidelberglaan,1,720,0.38095238095238093,0.3605272240423099,gamma,(0.5565153116870334  -1.853701898468511e-30  0.7189938182674211)
Heidelberglaan,1,735,0.38095238095238093,0.3126364937009625,expon,(0.0  0.10810810810810811)
Heidelberglaan,1,750,0.5714285714285714,0.41603471745560416,gamma,(0.21005059470474807  -1.5933665738807892e-29  0.45113859638158316)
Heidelberglaan,1,765,0.8095238095238095,0.6592760855916258,expon,(0.0  0.2537313432835821)
Heidelberglaan,1,780,1.380952380952381,0.9849315154314487,gamma,(0.6426928257322022  -5.867991431741608e-30  2.1289536843862225)
Heidelberglaan,1,795,0.3333333333333333,0.3277692049849241,gamma,(0.398450226174594  -1.335803490833212e-29  0.7730731469960055)
Heidelberglaan,1,810,0.2857142857142857,0.2857456398198083,expon,(0.0  0.08823529411764706)
Heidelberglaan,1,825,0.6190476190476191,0.5294906612588747,gamma,(0.5114587154094284  -2.5075580892319934e-30  1.1019047275667226)
Heidelberglaan,1,840,0.75,0.5455299209189355,expon,(0.0  0.22388059701492538)
Heidelberglaan,1,855,0.2857142857142857,0.3339181291045581,gamma,(0.3798369684599154  -6.046368005837722e-30  0.8270051024792813)
Heidelberglaan,1,870,0.47619047619047616,0.3842405385645922,expon,(0.0  0.136986301369863)
Heidelberglaan,1,885,0.6666666666666666,0.6291528696058958,gamma,(0.5732365398388495  -8.891446545134011e-30  1.2353081154687375)
Heidelberglaan,1,900,1.3333333333333333,0.8849537321179365,pareto,(2.779958126106232  -0.057042555614961604  0.057042555333563075)
Heidelberglaan,1,915,1.2380952380952381,1.1021510069429068,gamma,(0.37684568249706246  -2.3110018149246884e-29  2.742628686995742)
Heidelberglaan,1,930,0.6666666666666666,0.5118639096524212,gamma,(0.09647045328005985  -3.1307265336514933e-28  0.9196872398863396)
Heidelberglaan,1,945,0.38095238095238093,0.3605272240423099,gamma,(0.5565153116870334  -1.853701898468511e-30  0.7189938182674211)
Heidelberglaan,1,960,0.8571428571428571,0.6524361101646589,pareto,(5.279172413921163  -0.48689333798495804  0.4868933379842246)
Heidelberglaan,1,975,1.2380952380952381,1.4662201701318895,gamma,(0.2391859362792506  -9.161778417812966e-30  4.570280557329971)
Heidelberglaan,1,990,1.2380952380952381,1.3744187553703826,pareto,(6.329355620088366  -0.16898078250596926  0.16898078248049325)
Heidelberglaan,1,1005,0.9523809523809523,0.9409233461834229,gamma,(0.3170607649107946  -1.877299495659845e-30  2.5509195698848766)
Heidelberglaan,1,1020,1.5,0.9410963988571648,lognorm,(21.746519920132357  -2.871030431958999e-20  0.0053644889614955366)
Heidelberglaan,1,1035,1.5238095238095237,1.1670352873719636,gamma,(0.43784791514351906  -2.5180627424364986e-29  2.6255830876151816)
Heidelberglaan,1,1050,0.47619047619047616,0.6985833540195117,gamma,(0.1790287148596669  -1.275587861455124e-29  2.515220464965928)
Heidelberglaan,1,1065,0.6842105263157895,0.8496771266264588,pareto,(0.6644542352442291  -0.0005512876218359641  0.0002534334414437168)
Heidelberglaan,1,1080,0.21052631578947367,0.4646213682914464,gamma,(0.4080425432645432  -7.820003173292063e-29  1.0745706922851643)
