stop,direction,time,average,sd,passenger_count,percentage_out
Kromme Rijn,0,780,20.095238095238095,6.632361815091797,1996,0.0
Kromme Rijn,0,795,8.380952380952381,3.426220612876307,45,0.0
Kromme Rijn,0,810,3.0952380952380953,1.5231937999114433,6,0.16666666666666666
Kromme Rijn,0,825,4.666666666666667,2.8150732994292387,598,0.0033444816053511705
Kromme Rijn,0,840,2.4761904761904763,1.3345065261105364,1044,0.0
Kromme Rijn,0,855,4.85,1.8457629984040924,1529,0.0006540222367560497
Kromme Rijn,0,870,4.238095238095238,1.4862254725167763,929,0.0
Kromme Rijn,0,885,4.476190476190476,1.545618861368509,1715,0.0005830903790087463
Kromme Rijn,0,900,12.476190476190476,4.8388482322193385,2266,0.0
Kromme Rijn,0,915,18.476190476190474,6.797710361228824,673,0.0014858841010401188
Kromme Rijn,0,930,8.666666666666666,3.037374998210868,1936,0.0
Kromme Rijn,0,945,9.857142857142858,3.6782348707914077,262,0.0
Kromme Rijn,0,960,8.857142857142858,3.2072640120613993,1761,0.0005678591709256105
Kromme Rijn,0,975,7.571428571428571,2.4811308369731386,404,0.0049504950495049506
Kromme Rijn,0,990,7.476190476190476,3.1400559872629334,629,0.006359300476947536
Kromme Rijn,0,1005,10.19047619047619,3.5564056727235456,4517,0.0
Kromme Rijn,0,1020,9.047619047619047,3.462338563900404,471,0.0
Kromme Rijn,0,1035,11.047619047619047,4.473248288297467,669,0.0
Kromme Rijn,0,1050,7.476190476190476,3.9426248660776,294,0.0
Kromme Rijn,0,1065,4.75,2.3904053418641573,1797,0.0
Kromme Rijn,0,1080,3.4,1.6768539958706097,2069,0.0004833252779120348
Kromme Rijn,0,1095,4.25,2.4098246042075546,1068,0.0
Kromme Rijn,0,1110,2.5555555555555554,2.5023798196726177,2107,0.00047460844803037496
Kromme Rijn,0,1125,1.6842105263157894,2.286497359595807,2405,0.0008316008316008316
Kromme Rijn,0,1140,4.85,2.9092892540900714,1471,0.0
Kromme Rijn,0,1155,2.1578947368421053,1.4317821063276353,293,0.0
Kromme Rijn,0,1170,1.9473684210526316,1.393384536958932,630,0.0
Kromme Rijn,0,1185,2.85,1.9784553859730358,14,0.0
Kromme Rijn,0,1200,2.111111111111111,2.5385910352879693,7,0.0
Kromme Rijn,0,1215,1.368421052631579,1.3000224919331833,860,0.0
Kromme Rijn,0,1230,1.65,1.6944180805158293,714,0.0
Kromme Rijn,0,1245,0.8,0.9514531821875089,434,0.0
Kromme Rijn,0,1260,0.8,1.1964860832322377,467,0.0
Kromme Rijn,0,1275,1.05,1.4832396974191326,229,0.0
Kromme Rijn,0,1290,0.5789473684210527,0.901590537370498,352,0.0
Kromme Rijn,1,375,0.0,0.0,687,0.0
Kromme Rijn,1,390,0.05,0.17407765595569785,1,1.0
Kromme Rijn,1,405,0.0,0.0,914,0.0
Kromme Rijn,1,420,0.4,0.3585825031987472,634,0.0015772870662460567
Kromme Rijn,1,435,0.8,0.5196321137170781,201,0.024875621890547265
Kromme Rijn,1,450,0.7,0.5253992966699716,404,0.009900990099009901
Kromme Rijn,1,465,0.85,0.4618221281710205,2971,0.0026926960619320095
Kromme Rijn,1,480,1.35,0.6923698372538106,151,0.006622516556291391
Kromme Rijn,1,495,1.3,0.7217367628174831,186,0.016129032258064516
Kromme Rijn,1,510,1.5,0.7152067794192033,616,0.01461038961038961
Kromme Rijn,1,525,1.5,0.730204899443318,3568,0.0002802690582959641
Kromme Rijn,1,540,1.2380952380952381,0.7672682483797642,126,0.015873015873015872
Kromme Rijn,1,555,1.0,0.8151064932013481,2378,0.0008410428931875525
Kromme Rijn,1,570,0.8571428571428571,0.5477225575051661,286,0.0
Kromme Rijn,1,585,0.7142857142857143,0.44698205854656614,3068,0.0
Kromme Rijn,1,600,1.0,0.5950838163577847,375,0.008
Kromme Rijn,1,615,0.7142857142857143,0.4701921625365599,3386,0.0008860011813349084
Kromme Rijn,1,630,0.5714285714285714,0.44952240586509273,406,0.017241379310344827
Kromme Rijn,1,645,1.65,0.928165224100652,1510,0.0013245033112582781
Kromme Rijn,1,660,3.0,1.5023425867896583,412,0.0
Kromme Rijn,1,675,0.7619047619047619,0.5690426379538917,935,0.0
Kromme Rijn,1,690,0.8095238095238095,0.8884245863403574,324,0.0
Kromme Rijn,1,705,1.3333333333333333,1.0429502766316818,1079,0.0
Kromme Rijn,1,720,0.8571428571428571,0.5450829153581909,1907,0.0015731515469323545
Kromme Rijn,1,735,1.0952380952380953,0.6597611765833014,298,0.003355704697986577
Kromme Rijn,1,750,1.380952380952381,0.7431277184778867,2521,0.0
Kromme Rijn,1,765,2.2857142857142856,1.1399643401348003,2333,0.0021431633090441492
Kromme Rijn,1,780,3.619047619047619,1.829073506848508,2030,0.0019704433497536944
