stop,direction,time,average,sd,passenger_count,percentage_out
Centraal Station,0,870,0.0,0.0,99,1.0
Centraal Station,0,885,0.0,0.0,27,1.0
Centraal Station,0,900,0.0,0.0,33,1.0
Centraal Station,0,915,0.0,0.0,74,1.0
Centraal Station,0,930,0.0,0.0,32,1.0
Centraal Station,0,945,0.0,0.0,37,1.0
Centraal Station,0,960,0.0,0.0,70,1.0
Centraal Station,0,975,0.0,0.0,155,1.0
Centraal Station,0,990,0.0,0.0,55,1.0
Centraal Station,0,1005,0.0,0.0,92,1.0
Centraal Station,0,1020,0.0,0.0,109,1.0
Centraal Station,0,1035,0.0,0.0,94,1.0
Centraal Station,0,1050,0.0,0.0,21,1.0
Centraal Station,0,1065,0.0,0.0,102,1.0
Centraal Station,0,1080,0.0,0.0,93,1.0
Centraal Station,0,1095,0.0,0.0,92,1.0
Centraal Station,0,1110,0.0,0.0,15,1.0
Centraal Station,0,1125,0.0,0.0,88,1.0
Centraal Station,0,1140,0.0,0.0,35,1.0
Centraal Station,0,1155,0.0,0.0,35,1.0
Centraal Station,0,1170,0.0,0.0,31,1.0
Centraal Station,0,1185,0.0,0.0,49,1.0
Centraal Station,0,1200,0.0,0.0,41,1.0
Centraal Station,0,1215,0.0,0.0,54,1.0
Centraal Station,0,1230,0.0,0.0,22,1.0
Centraal Station,0,1245,0.0,0.0,20,1.0
Centraal Station,0,1260,0.0,0.0,22,1.0
Centraal Station,0,1275,0.0,0.0,46,1.0
Centraal Station,0,1290,0.0,0.0,37,1.0
Centraal Station,1,360,5.888888888888889,3.1787694416863097,0,0
Centraal Station,1,375,31.736842105263158,8.054274953665274,0,0
Centraal Station,1,390,51.65,19.0388724160177,0,0
Centraal Station,1,405,61.2,19.00336940598924,0,0
Centraal Station,1,420,78.15,24.064606025403673,0,0
Centraal Station,1,435,178.25,38.33373700838498,0,0
Centraal Station,1,450,222.05,41.6139194668764,0,0
Centraal Station,1,465,264.2,55.81622863886725,0,0
Centraal Station,1,480,472.7,91.33048468879286,0,0
Centraal Station,1,495,528.3684210526316,87.28105159319011,0,0
Centraal Station,1,510,493.94736842105266,82.12185443555485,0,0
Centraal Station,1,525,337.4761904761905,70.44600008331862,0,0
Centraal Station,1,540,266.85714285714283,57.293535240268326,0,0
Centraal Station,1,555,344.0,57.87511653486367,0,0
Centraal Station,1,570,316.6190476190476,67.94845951664344,0,0
Centraal Station,1,585,244.76190476190476,51.35114291069283,0,0
Centraal Station,1,600,321.14285714285717,73.87543795894538,0,0
Centraal Station,1,615,306.85714285714283,67.40492486828569,0,0
Centraal Station,1,630,313.1904761904762,62.2396915049872,0,0
Centraal Station,1,645,185.42857142857142,39.56299747530221,0,0
Centraal Station,1,660,160.52380952380952,36.93759778173718,0,0
Centraal Station,1,675,145.0952380952381,38.13196972862293,0,0
Centraal Station,1,690,176.95238095238096,34.64969124736629,0,0
Centraal Station,1,705,127.14285714285714,27.17308679890565,0,0
Centraal Station,1,720,201.95238095238096,38.48176556813097,0,0
Centraal Station,1,735,203.38095238095238,48.83477343199051,0,0
Centraal Station,1,750,244.33333333333334,48.465881297046444,0,0
Centraal Station,1,765,214.0952380952381,53.561875752828996,0,0
Centraal Station,1,780,150.1904761904762,26.88366990046324,0,0
Centraal Station,1,795,104.38095238095238,22.67294191502213,0,0
Centraal Station,1,810,119.85714285714286,24.220757585988423,0,0
Centraal Station,1,825,81.9,21.675763185581708,0,0
Centraal Station,1,840,82.38095238095238,19.680928020266922,0,0
Centraal Station,1,855,97.14285714285714,25.859405653639715,0,0
Centraal Station,1,870,116.66666666666667,26.006573370640805,0,0
Centraal Station,1,885,105.61904761904762,22.906816064704895,0,0
Centraal Station,1,900,48.19047619047619,11.756772949642777,0,0
Centraal Station,1,915,56.333333333333336,12.922401807267427,0,0
Centraal Station,1,930,63.666666666666664,17.281494224335635,0,0
Centraal Station,1,945,38.523809523809526,10.750757549065455,0,0
Centraal Station,1,960,42.61904761904762,11.024467084214514,0,0
Centraal Station,1,975,50.61904761904762,11.481203862933105,0,0
Centraal Station,1,990,53.523809523809526,14.025512197051839,0,0
Centraal Station,1,1005,41.666666666666664,14.238307413904856,0,0
Centraal Station,1,1020,55.904761904761905,14.654117192275061,0,0
Centraal Station,1,1035,48.285714285714285,16.424828766230714,0,0
Centraal Station,1,1050,53.0,15.264489029997074,0,0
Centraal Station,1,1065,39.45,15.48155584650882,0,0
Centraal Station,1,1080,34.25,19.378219335516476,0,0
Centraal Station,1,1095,37.3,22.690568630201952,0,0
Centraal Station,1,1110,49.3,15.414824252085687,0,0
Centraal Station,1,1125,23.38888888888889,11.115392393071334,0,0
Centraal Station,1,1140,24.31578947368421,11.48454338848982,0,0
Centraal Station,1,1155,17.25,8.961173560362916,0,0
Centraal Station,1,1170,14.68421052631579,5.68675489946153,0,0
Centraal Station,1,1185,14.842105263157896,7.228517274538679,0,0
Centraal Station,1,1200,14.5,10.318608637337029,0,0
Centraal Station,1,1215,11.3,5.151392249214105,0,0
Centraal Station,1,1230,11.789473684210526,4.69726808745042,0,0
Centraal Station,1,1245,11.05,2.964260802504253,0,0
Centraal Station,1,1260,10.4,4.476840991498123,0,0
Padualaan,0,360,0.0,0.0,1,0.0
Padualaan,0,375,0.1111111111111111,0.3333333333333333,8,0.0
Padualaan,0,390,0.05263157894736842,0.1796053020267749,3,0.0
Padualaan,0,405,0.1,0.2668802563418119,5,0.0
Padualaan,0,420,0.05,0.22360679774997896,8,0.0
Padualaan,0,435,0.8,0.5229170357287027,9,0.0
Padualaan,0,450,1.05,0.583344136102547,0,0
Padualaan,0,465,0.6,0.4185592142777142,3,0.0
Padualaan,0,480,2.35,1.3143032046686265,0,0
Padualaan,0,495,3.85,1.5800742436305375,7,0.0
Padualaan,0,510,4.0,3.2503802472037684,2,0.0
Padualaan,0,525,2.55,1.6039568559124073,2,0.0
Padualaan,0,540,3.5714285714285716,1.9788647330373688,15,0.0
Padualaan,0,555,1.5714285714285714,0.9222400868945836,0,0
Padualaan,0,570,2.7142857142857144,1.1010211558373457,6,0.0
Padualaan,0,585,7.761904761904762,4.052210868206752,7,0.0
Padualaan,0,600,8.571428571428571,3.623162244946335,6,0.0
Padualaan,0,615,15.619047619047619,4.681149588017912,15,0.0
Padualaan,0,630,24.285714285714285,6.203330010649864,17,0.0
Padualaan,0,645,34.80952380952381,9.790930437939988,11,0.0
Padualaan,0,660,46.2,10.823924848683673,11,0.0
Padualaan,0,675,33.80952380952381,8.39727847068833,1,0.0
Padualaan,0,690,38.476190476190474,9.060420470173234,1,0.0
Padualaan,0,705,51.857142857142854,11.341254787296508,23,0.0
Padualaan,0,720,63.61904761904762,16.049307825888967,19,0.0
Padualaan,0,735,46.476190476190474,11.565698622019537,26,0.0
Padualaan,0,750,73.76190476190476,13.82330458261517,30,0.0
Padualaan,0,765,75.04761904761905,18.422517059534865,158,0.0
Padualaan,0,780,114.47619047619048,20.918295003351357,10,0.0
Padualaan,0,795,74.28571428571429,15.480287408365971,40,0.0
Padualaan,0,810,72.19047619047619,15.773294494636836,42,0.0
Padualaan,0,825,58.476190476190474,13.298114115700963,9,0.0
Padualaan,0,840,61.80952380952381,14.898976044664519,38,0.0
Padualaan,0,855,71.04761904761905,15.050016073154756,25,0.0
Padualaan,0,870,79.95238095238095,16.891332174097286,47,0.0
Padualaan,0,885,73.61904761904762,14.767658059748,36,0.027777777777777776
Padualaan,0,900,87.80952380952381,20.58785775659162,15,0.0
Padualaan,0,915,87.33333333333333,19.420891487183116,149,0.0
Padualaan,0,930,93.71428571428571,17.970033535393245,47,0.0
Padualaan,0,945,90.52380952380952,20.65182238586084,99,0.0
Padualaan,0,960,102.66666666666667,23.637834700465124,41,0.0
Padualaan,0,975,102.71428571428571,21.516706268586944,60,0.0
Padualaan,0,990,83.19047619047619,30.371275533915004,84,0.0
Padualaan,0,1005,95.76190476190476,25.643156104829618,127,0.007874015748031496
Padualaan,0,1020,90.71428571428571,24.888371314426305,102,0.0
Padualaan,0,1035,99.0,29.54748459943496,79,0.012658227848101266
Padualaan,0,1050,90.23809523809524,25.786196461051173,52,0.0
Padualaan,0,1065,70.65,21.018367317798077,2,0.0
Padualaan,0,1080,41.45,18.285637195056495,97,0.0
Padualaan,0,1095,59.15,19.8750482731401,19,0.0
Padualaan,0,1110,27.055555555555557,17.989104889817117,32,0.0
Padualaan,0,1125,22.31578947368421,14.248012070222861,69,0.0
Padualaan,0,1140,44.7,17.57107088386163,24,0.0
Padualaan,0,1155,15.842105263157896,8.647589091848044,14,0.0
Padualaan,0,1170,11.8125,6.443887352408196,10,0.0
Padualaan,0,1185,18.866666666666667,8.322633823870529,16,0.0
Padualaan,0,1200,12.083333333333334,8.284908320696912,9,0.0
Padualaan,0,1215,16.466666666666665,9.838732316450695,22,0.0
Padualaan,0,1230,10.3125,8.866659295294003,5,0.0
Padualaan,0,1245,10.0,5.52393283739899,19,0.05263157894736842
Padualaan,0,1260,6.588235294117647,4.293337692054015,2,0.0
Padualaan,0,1275,6.388888888888889,2.781603645485767,11,0.0
Padualaan,0,1290,7.083333333333333,4.420167280531223,4,0.0
Padualaan,1,375,0.0,0.0,10,0.1
Padualaan,1,390,0.0,0.0,22,0.2727272727272727
